entry,gated,funds,cumulative,series
2009-01-20,0.3800517416196436,2,0.2737121915463643,O2 gate
2009-02-23,0.12136890061546886,2,0.3950810921618331,O2 gate
2009-03-23,0.42121968519054087,2,0.816300777352374,O2 gate
2009-04-20,0.5395293779861171,2,1.355830155338491,O2 gate
2009-05-18,0.22656633707988488,2,1.582396492418376,O2 gate
2009-06-22,0.4591458290779607,2,2.041542321496337,O2 gate
2009-07-20,0.12394805691015297,2,2.16549037840649,O2 gate
2009-08-24,0.37642030765634155,2,2.5419106860628315,O2 gate
2009-09-21,0.22759582698956765,2,2.769506513052399,O2 gate
2009-10-19,0.2598682218714131,2,3.0293747349238123,O2 gate
2009-11-23,0.16214371186792728,2,3.1915184467917395,O2 gate
2009-12-21,0.49402737685762665,2,3.685545823649366,O2 gate
2010-01-19,-0.330278950674622,2,3.355266872974744,O2 gate
2010-02-22,0.4395650289099384,2,3.7948319018846823,O2 gate
2010-03-22,0.2517041449173585,2,4.046536046802041,O2 gate
2010-04-19,-0.403906325211251,2,3.64262972159079,O2 gate
2010-05-24,0.37716293504401865,2,4.019792656634809,O2 gate
2010-06-21,0.17773123162151652,2,4.197523888256325,O2 gate
2010-07-19,0.4694155667370595,2,4.6669394549933845,O2 gate
2010-08-23,0.5112193819153276,1,5.178158836908712,O2 gate
2010-09-20,0.26519774783497274,2,5.443356584743684,O2 gate
2010-10-18,-0.10533039649626787,2,5.338026188247416,O2 gate
2010-11-22,0.37704768103072045,2,5.715073869278137,O2 gate
2010-12-20,0.3707080726538889,3,6.085781941932026,O2 gate
2011-01-24,0.10863696722300542,3,6.194418909155031,O2 gate
2011-02-22,0.17459343207029487,3,6.369012341225326,O2 gate
2011-03-21,0.4280813668619614,3,6.797093708087287,O2 gate
2011-04-18,-1.107842650106995,3,5.689251057980292,O2 gate
2011-05-23,0.4671792126942879,3,6.15643027067458,O2 gate
2011-06-20,0.22561338339612672,3,6.382043654070706,O2 gate
2011-07-18,-0.6128805402056304,3,5.769163113865076,O2 gate
2011-08-22,0.35029973477360543,3,6.1194628486386815,O2 gate
2011-09-19,-0.4496322040227932,3,5.669830644615888,O2 gate
2011-10-24,0.2243007101337332,3,5.8941313547496215,O2 gate
2011-11-21,0.38116751861090165,3,6.275298873360523,O2 gate
2011-12-19,0.36162696672843464,3,6.636925840088957,O2 gate
2012-01-23,0.5173217969035137,3,7.154247636992471,O2 gate
2012-02-21,-0.1848922524539811,3,6.96935538453849,O2 gate
2012-03-19,0.28897873087706666,3,7.258334115415557,O2 gate
2012-04-23,0.261284741198551,3,7.519618856614108,O2 gate
2012-05-21,0.23417688134026818,3,7.753795737954376,O2 gate
2012-06-18,0.09411205850650975,4,7.847907796460886,O2 gate
2012-07-23,0.47926878793617933,4,8.327176584397066,O2 gate
2012-08-20,0.015094665999659676,3,8.342271250396726,O2 gate
2012-09-24,0.4624105572366992,3,8.804681807633425,O2 gate
2012-10-22,0.2549247171183851,3,9.05960652475181,O2 gate
2012-11-19,0.4066952269035098,3,9.46630175165532,O2 gate
2012-12-24,0.45578594618466745,3,9.922087697839988,O2 gate
2013-01-22,0.3632061453928788,3,10.285293843232866,O2 gate
2013-02-19,0.42768348812799717,2,10.712977331360863,O2 gate
2013-03-18,-3.091401418699401,3,7.621575912661461,O2 gate
2013-04-22,-0.06975899768065731,3,7.551816914980804,O2 gate
2013-05-20,0.08684915145893145,3,7.638666066439735,O2 gate
2013-06-24,0.03990042019676289,3,7.678566486636498,O2 gate
2013-07-22,0.2334141929113953,3,7.911980679547893,O2 gate
2013-08-19,0.026279484631280083,2,7.938260164179173,O2 gate
2013-09-23,0.17278539209420574,3,8.111045556273378,O2 gate
2013-10-21,0.5072475042180429,3,8.618293060491421,O2 gate
2013-11-18,0.11248176726579706,3,8.730774827757218,O2 gate
2013-12-23,0.1260563760719937,2,8.856831203829211,O2 gate
2014-01-21,0.0631478724058119,3,8.919979076235023,O2 gate
2014-02-24,0.07219745449866381,4,8.992176530733687,O2 gate
2014-03-24,0.5586870007269042,3,9.55086353146059,O2 gate
2014-04-21,0.5161400581466031,2,10.067003589607193,O2 gate
2014-05-19,0.22764206939761,3,10.294645659004804,O2 gate
2014-06-23,0.18424565815421176,3,10.478891317159015,O2 gate
2014-07-21,0.27594562161710556,3,10.754836938776121,O2 gate
2014-08-18,0.19500062258161643,3,10.949837561357738,O2 gate
2014-09-22,0.11709014572663586,3,11.066927707084373,O2 gate
2014-10-20,-0.04860313391590265,4,11.01832457316847,O2 gate
2014-11-24,-0.6684735044016429,3,10.349851068766828,O2 gate
2014-12-22,-0.006636222071047131,4,10.343214846695782,O2 gate
2015-01-20,0.0,4,10.343214846695782,O2 gate
2015-02-23,0.3002690469561322,3,10.643483893651913,O2 gate
2015-03-23,0.04912479175102222,2,10.692608685402936,O2 gate
2015-04-20,0.09940600031896277,2,10.792014685721899,O2 gate
2015-05-18,0.40591403433794326,3,11.197928720059842,O2 gate
2015-06-22,0.158917098313065,2,11.356845818372907,O2 gate
2015-07-20,0.3772564637710831,3,11.73410228214399,O2 gate
2015-08-24,-0.03095691532008793,2,11.703145366823902,O2 gate
2015-09-21,0.11695644237682136,2,11.820101809200724,O2 gate
2015-10-19,0.34297398442655574,2,12.163075793627279,O2 gate
2015-11-23,0.11016102262225845,2,12.273236816249536,O2 gate
2015-12-21,0.08138339134072178,1,12.354620207590258,O2 gate
2016-01-19,-0.9015841727791885,1,11.45303603481107,O2 gate
2016-02-22,0.488859655535264,1,11.941895690346335,O2 gate
2016-03-21,0.008925836464400067,2,11.950821526810735,O2 gate
2016-04-18,0.20894669303884403,2,12.159768219849578,O2 gate
2016-05-23,0.054858170137102986,1,12.214626389986682,O2 gate
